case_number,type_of_intake
CAS-03006-G2P0Q0,External Agency
CAS-02720-T0B4Q6,Direct Intake
CAS-02262-F8H8R8,External Agency
CAS-02058-D4Y4L6,External Agency
CAS-02197-Q2V6V2,Direct Intake
CAS-02956-K7W2D2,External Agency
CAS-02725-S2J6H5,Courts
CAS-02898-T8N6T8,Courts
CAS-02175-G3G9M8,Courts
CAS-02231-S7R3H1,Courts
CAS-02320-R2V6C4,Courts
CAS-02805-X3L7Y2,Courts
CAS-02794-D5P6L5,External Agency
CAS-02628-K1G7T1,External Agency
CAS-02501-W1C1Q1,External Agency
CAS-02267-S3C1T4,External Agency
CAS-02419-K3W4Z0,External Agency
CAS-02268-D2C5G2,Direct Intake
CAS-02318-W2Y4N9,Courts
CAS-01973-H6L2B2,Courts
CAS-02222-H0C6V8,Courts
CAS-02524-P3M5L5,Courts
CAS-02730-W0P8K4,Courts
CAS-02713-R6K4Q8,External Agency
CAS-02920-N1V6X4,Direct Intake
CAS-01977-C0H6C8,Direct Intake
CAS-02386-T3K7V2,Courts
CAS-02503-L0Q7L2,Courts
CAS-02513-C4G1M5,Courts
CAS-02923-C4H9B9,Courts
CAS-02505-X9W3R4,Courts
CAS-02797-W9T3X9,Courts
CAS-02825-K9H5N0,External Agency
CAS-02830-Z2B8M4,External Agency
CAS-02621-W5P9C0,Direct Intake
CAS-02750-H8F9H6,Direct Intake
CAS-03020-Y0W6F6,External Agency
CAS-02803-W4F8G8,External Agency
CAS-02043-Z3H8N0,External Agency
CAS-02806-K0V2S9,Direct Intake
CAS-02290-K3C0D2,External Agency
CAS-02943-M6P8N2,External Agency
CAS-02781-Q8B6Z9,External Agency
CAS-02370-W0F3Y1,Courts
CAS-02530-J8J0M0,Courts
CAS-02485-P6P6B0,Courts
CAS-02864-T7M8B1,Courts
CAS-02355-X4C0V5,Courts
CAS-02452-M0R9S2,Courts
CAS-02764-V9W8D4,External Agency
CAS-02831-D6D8L3,External Agency
CAS-02457-X6R6L4,External Agency
CAS-02219-N6Q3W1,Courts
CAS-02218-F3Z9D5,Courts
CAS-02571-H6X9D0,Courts
CAS-02448-J0Q0G2,Courts
CAS-02156-J7C5G8,Courts
CAS-02423-S1Z3T5,Courts
CAS-02420-N8D3Z9,Courts
CAS-03009-Z0N0R9,External Agency
CAS-02859-V0R6P5,Direct Intake
CAS-01978-L6S3Z1,Direct Intake
CAS-02012-Z3K1V1,External Agency
CAS-02988-R2V7Q9,External Agency
CAS-02691-G5X3J1,External Agency
CAS-02894-G2H3T7,External Agency
CAS-02140-C2M6G5,External Agency
CAS-02098-J7B4X5,Direct Intake
CAS-03031-Y2G3G1,External Agency
CAS-02016-H6P3T4,Direct Intake
CAS-02149-Y0S1P8,External Agency
CAS-02266-Z2R0Q2,External Agency
CAS-02462-C8T3T9,External Agency
CAS-02357-G5B7K7,External Agency
CAS-02446-L0T5L0,External Agency
CAS-02080-P8K7B5,Direct Intake
CAS-02594-Q0S7K0,External Agency
CAS-02474-B8Q2K7,External Agency
CAS-02962-L3F4D3,Courts
CAS-02963-B8W7L5,Courts
CAS-02333-R6K1K9,Courts
CAS-01982-F6J5D0,Courts
CAS-02627-T7F2W0,Courts
