case_number,type_of_intake
CAS-05918-W5G2D6,Applications through Contact Centre
CAS-05919-V4L5S2,Applications through Contact Centre
CAS-05920-Z1D5T8,Applications through Contact Centre
CAS-05921-W3W9R3,Court-Ordered- Magistrate's Complaint
CAS-05922-T8K5X9,Court-Ordered- Magistrate's Complaint
CAS-05923-R8J4R7,Court-Ordered- Magistrate's Complaint
CAS-05924-N9T4P9,Court-Ordered- Magistrate's Complaint
CAS-05925-K3Q1S9,External Agency Referrals - Singapore Police Force (SPF)
CAS-05926-N2L2K5,External Agency Referrals - Singapore Police Force (SPF)
CAS-05927-B4X4P1,External Agency Referrals - Member of Parliament
CAS-05928-Y2G3F8,Applications through Contact Centre
CAS-05929-D5K4B1,Court-Ordered- Magistrate's Complaint
CAS-05930-G2P6Z3,External Agency Referrals - Singapore Police Force (SPF)
CAS-05931-D8B1T2,Applications through Contact Centre
CAS-05932-S8V5N8,Court-Ordered- Magistrate's Complaint
CAS-05933-J1R6D5,Court-Ordered- Magistrate's Complaint
CAS-05934-D5L2K9,Court-Ordered- Magistrate's Complaint
CAS-05935-Z7R8V3,External Agency Referrals - Housing Development Board (HDB)
CAS-05936-Z9Y7B7,Applications through Contact Centre
CAS-05937-B4D1Y2,External Agency Referrals - Singapore Police Force (SPF)
CAS-05938-P1W5F3,External Agency Referrals - Singapore Police Force (SPF)
CAS-05939-N0V5C7,Court-Ordered- Magistrate's Complaint
CAS-05940-L5Y2N1,Court-Ordered- Magistrate's Complaint
CAS-05941-D1Q0Q6,Court-Ordered- Magistrate's Complaint
CAS-05942-L0V6H7,Court-Ordered- Magistrate's Complaint
CAS-05943-Z8G7Q4,Applications through Contact Centre
CAS-05944-X3X7D3,Applications through Contact Centre
CAS-05945-D9Z3F6,External Agency Referrals - Town Council
CAS-05946-Z9R7X7,Court-Ordered- Magistrate's Complaint
CAS-05947-B6Y6K2,Court-Ordered- Magistrate's Complaint
CAS-05948-V1N3F7,Applications through Contact Centre
CAS-05949-N4G8C5,Court-Ordered- Magistrate's Complaint
CAS-05950-J1Z8N9,Court-Ordered- Magistrate's Complaint
CAS-05951-H7F2Z4,Court-Ordered- Magistrate's Complaint
CAS-05952-P4X4B7,Court-Ordered- Magistrate's Complaint
CAS-05953-T7P2L8,External Agency Referrals - Housing Development Board (HDB)
CAS-05954-K0N1W7,External Agency Referrals - Singapore Police Force (SPF)
CAS-05955-R1B3C0,External Agency Referrals - Member of Parliament
CAS-05956-T2R6Y7,External Agency Referrals - Member of Parliament
CAS-05957-H6T9Y6,Applications through Contact Centre
CAS-05958-Y8R7R2,Court-Ordered- Magistrate's Complaint
CAS-05959-G6K8Z9,Court-Ordered- Magistrate's Complaint
CAS-05960-N3N9S8,Court-Ordered- Magistrate's Complaint
CAS-05961-N8G1T2,Court-Ordered- Magistrate's Complaint
CAS-05962-J9N9Q7,Court-Ordered- Magistrate's Complaint
CAS-05963-X3Z9Y9,Court-Ordered- Magistrate's Complaint
CAS-05964-Z0L2M3,Court-Ordered- Magistrate's Complaint
CAS-05965-X0H4L2,Court-Ordered- Magistrate's Complaint
CAS-05966-H6L4T1,External Agency Referrals - Housing Development Board (HDB)
CAS-05967-K0T5L4,External Agency Referrals - Housing Development Board (HDB)
CAS-05968-R2G4V9,External Agency Referrals - Housing Development Board (HDB)
CAS-05969-B0R1D2,Applications through Contact Centre
CAS-05970-N1V6W6,External Agency Referrals - Member of Parliament
CAS-05971-W6Q7Y0,External Agency Referrals - Singapore Police Force (SPF)
CAS-05972-K7J8T6,External Agency Referrals - Housing Development Board (HDB)
CAS-05973-D3M4S6,External Agency Referrals - Housing Development Board (HDB)
CAS-05974-D4X0J6,Court-Ordered- Magistrate's Complaint
CAS-05975-C0V3L7,Court-Ordered- Magistrate's Complaint
CAS-05976-Q6K6S0,Court-Ordered- Magistrate's Complaint
CAS-05977-X4L6N3,Court-Ordered- Magistrate's Complaint
CAS-05978-J9W4W7,External Agency Referrals - Member of Parliament
CAS-05979-F5W3C6,External Agency Referrals - Singapore Police Force (SPF)
CAS-05980-V6F8K5,External Agency Referrals - Singapore Police Force (SPF)
CAS-05981-S0B0Z9,External Agency Referrals - Housing Development Board (HDB)
CAS-05982-J2G5C9,Applications through Contact Centre
CAS-05984-H7R8W0,Court-Ordered- Magistrate's Complaint
CAS-05985-K7S0Y5,Court-Ordered- Magistrate's Complaint
CAS-05986-Q6R8S7,Applications through Contact Centre
CAS-05987-L8P5F8,Applications through Contact Centre
CAS-05988-R0L1H0,Court-Ordered- Magistrate's Complaint
CAS-05989-W8J6F0,Court-Ordered- Magistrate's Complaint
CAS-05990-H1H3G4,Court-Ordered- Magistrate's Complaint
CAS-05991-C4V1C9,Court-Ordered- Magistrate's Complaint
CAS-05992-P8Y7P8,Court-Ordered- Magistrate's Complaint
CAS-05993-R8C9L1,Court-Ordered- Magistrate's Complaint
CAS-05994-Y9Y3T9,Court-Ordered- Magistrate's Complaint
CAS-05995-G5Y7D9,Court-Ordered- Magistrate's Complaint
CAS-05996-N1X9C2,Applications through Contact Centre
CAS-05997-Z2L0D5,External Agency Referrals - Singapore Police Force (SPF)
CAS-05998-H6P7S6,Applications through Contact Centre
CAS-05999-G6D3P8,Court-Ordered- Magistrate's Complaint
CAS-06000-C0H3M2,Court-Ordered- Magistrate's Complaint
CAS-06001-F1H5X3,Applications through Contact Centre
CAS-06002-X2F7J7,External Agency Referrals - Singapore Police Force (SPF)
CAS-06003-H8L5Q4,Applications through Contact Centre
CAS-06004-Y7K7S9,Applications through Contact Centre
CAS-06005-T1T3N7,External Agency Referrals - Housing Development Board (HDB)
CAS-06006-K9V4C5,Court-Ordered- Magistrate's Complaint
CAS-06007-R2P2D5,Court-Ordered- Magistrate's Complaint
CAS-06008-K7P6Z3,External Agency Referrals - Singapore Police Force (SPF)
CAS-06009-D1S1G7,External Agency Referrals - Singapore Police Force (SPF)
CAS-06010-J0Q2V5,Court-Ordered- Magistrate's Complaint
CAS-06011-F0V9N0,Court-Ordered- Magistrate's Complaint
CAS-06012-F1S9R0,Court-Ordered- Magistrate's Complaint
CAS-06013-G2T2Z8,Court-Ordered- Magistrate's Complaint
CAS-06014-N5V6C4,External Agency Referrals - Member of Parliament
CAS-06015-S5X2L8,External Agency Referrals - Member of Parliament
CAS-06016-Z2H5D4,External Agency Referrals - Housing Development Board (HDB)
CAS-06017-K1M5T7,External Agency Referrals - Member of Parliament
CAS-06018-R6Y4W5,Applications through Contact Centre
CAS-06019-Q6S0R7,Court-Ordered- Magistrate's Complaint
CAS-06020-G3G0C3,Court-Ordered- Magistrate's Complaint
CAS-06021-F9J2N3,External Agency Referrals - Housing Development Board (HDB)
CAS-06022-T3S1M0,Court-Ordered- Magistrate's Complaint
CAS-06023-B2M4H3,Court-Ordered- Magistrate's Complaint
CAS-06024-T2L0J8,Court-Ordered- Magistrate's Complaint
CAS-06025-X5P8T0,Court-Ordered- Magistrate's Complaint
CAS-06026-J0T1M8,Court-Ordered- Magistrate's Complaint
CAS-06027-Z9V3N9,Court-Ordered- Magistrate's Complaint
CAS-06028-H3C9B2,Applications through Contact Centre
CAS-06029-L2P3R5,External Agency Referrals - Housing Development Board (HDB)
CAS-06030-S5Q7H8,Court-Ordered- Magistrate's Complaint
CAS-06031-R2P6R2,Court-Ordered- Magistrate's Complaint
CAS-06032-D7R3C3,Court-Ordered- Magistrate's Complaint
CAS-06033-L7Q8V4,Court-Ordered- Magistrate's Complaint
CAS-06034-C1Y3R7,Applications through Contact Centre
CAS-06035-J6D8P4,Applications through Contact Centre
CAS-06036-Y7M0L4,Court-Ordered- Magistrate's Complaint
CAS-06037-K6C6L8,Court-Ordered- Magistrate's Complaint
CAS-06038-M9K8W1,Applications through Contact Centre
CAS-06039-W6S3B2,Court-Ordered- Magistrate's Complaint
CAS-06040-W9F5Z2,Court-Ordered- Magistrate's Complaint
CAS-06041-K1P5F8,Court-Ordered- Magistrate's Complaint
CAS-06042-V2L1C3,Court-Ordered- Magistrate's Complaint
CAS-06043-R7X7K9,Court-Ordered- Magistrate's Complaint
CAS-06044-V8T2G5,Court-Ordered- Magistrate's Complaint
CAS-06045-D3Z6S1,External Agency Referrals - Member of Parliament
CAS-06046-Y0J1B6,External Agency Referrals - Member of Parliament
CAS-06047-P3V5Q6,External Agency Referrals - Singapore Police Force (SPF)
CAS-06048-N5L4G1,Court-Ordered- Magistrate's Complaint
CAS-06049-M0V5H0,Court-Ordered- Magistrate's Complaint
CAS-06050-P6M0K5,Court-Ordered- Magistrate's Complaint
CAS-06051-G9M3T7,Court-Ordered- Magistrate's Complaint
CAS-06052-K1B6Z3,External Agency Referrals - Housing Development Board (HDB)
CAS-06053-G1L2W1,Applications through Contact Centre
CAS-06054-B3Q9V8,Court-Ordered- Magistrate's Complaint
CAS-06055-Z2T4F6,Court-Ordered- Magistrate's Complaint
CAS-06056-Y5K8Z7,Court-Ordered- Magistrate's Complaint
CAS-06057-B7K9J5,Court-Ordered- Magistrate's Complaint
CAS-06058-X9N0P7,Court-Ordered- Magistrate's Complaint
CAS-06059-V7N9J1,Applications through Contact Centre
CAS-06060-J3W1P6,External Agency Referrals - Housing Development Board (HDB)
CAS-06061-Z4J9B8,External Agency Referrals - Singapore Police Force (SPF)
CAS-06062-W7H6S3,External Agency Referrals - Singapore Police Force (SPF)
CAS-06063-C4D3M5,Court-Ordered- Magistrate's Complaint
CAS-06064-L8L1F9,Court-Ordered- Magistrate's Complaint
CAS-06065-R1Y2P2,Court-Ordered- Magistrate's Complaint
CAS-06066-V0S4J0,Court-Ordered- Magistrate's Complaint
CAS-06067-J2L9K5,External Agency Referrals - Housing Development Board (HDB)
CAS-06068-V6F4N1,External Agency Referrals - Housing Development Board (HDB)
CAS-06069-N6H8N6,Applications through Contact Centre
CAS-06070-R0C8S0,External Agency Referrals - Singapore Police Force (SPF)
CAS-06071-P6N5R1,Court-Ordered- Magistrate's Complaint
CAS-06072-L4B1R8,Court-Ordered- Magistrate's Complaint
CAS-06073-H6D0N9,Court-Ordered- Magistrate's Complaint
CAS-06074-M3B6M9,Court-Ordered- Magistrate's Complaint
CAS-06075-S1P1N8,Applications through Contact Centre
CAS-06076-H9S0L9,Walk Ins
CAS-06077-S7L4S5,Court-Ordered- Magistrate's Complaint
CAS-06078-V7X4K3,Court-Ordered- Magistrate's Complaint
CAS-06079-P5D4D7,Court-Ordered- Magistrate's Complaint
CAS-06080-Q6S1Y0,Court-Ordered- Magistrate's Complaint
CAS-06081-K7V8F9,Applications through Contact Centre
CAS-06082-F0B0N2,Court-Ordered- Magistrate's Complaint
CAS-06083-W7W0D7,Court-Ordered- Magistrate's Complaint
CAS-06084-J5F0X4,Court-Ordered- Magistrate's Complaint
CAS-06085-P2X2S6,Court-Ordered- Magistrate's Complaint
CAS-06086-M2X2B7,External Agency Referrals - Housing Development Board (HDB)
CAS-06087-M4S3S2,External Agency Referrals - Member of Parliament
CAS-06088-W6X5H3,External Agency Referrals - Housing Development Board (HDB)
CAS-06089-D1D2D9,External Agency Referrals - Member of Parliament
CAS-06090-P6S7N0,Court-Ordered- Magistrate's Complaint
CAS-06091-G6J1W3,Court-Ordered- Magistrate's Complaint
CAS-06092-J0H2N4,Court-Ordered- Magistrate's Complaint
CAS-06093-P8C2J2,Court-Ordered- Magistrate's Complaint
CAS-06094-H4D4V5,External Agency Referrals - Housing Development Board (HDB)
CAS-06095-R5L5D6,Applications through Contact Centre
CAS-06096-D1K7Y2,External Agency Referrals - Singapore Police Force (SPF)
CAS-06097-T8G4T2,External Agency Referrals - Singapore Police Force (SPF)
CAS-06098-V6V8L6,Applications through Contact Centre
CAS-06099-B9Q0K9,Applications through Contact Centre
CAS-06100-M6C4L1,Applications through Contact Centre
CAS-06101-D9H3G7,Court-Ordered- Magistrate's Complaint
CAS-06102-N6J9Q4,Court-Ordered- Magistrate's Complaint
CAS-06103-B2B2Y1,External Agency Referrals - Housing Development Board (HDB)
CAS-06104-Q3H4B1,Applications through Contact Centre
CAS-06105-W5R1R6,Applications through Contact Centre
CAS-06106-V5Z9X9,External Agency Referrals - Member of Parliament
CAS-06107-S4Z7C7,External Agency Referrals - Member of Parliament
CAS-06108-G5H4D1,External Agency Referrals - Member of Parliament
CAS-06109-J4Q2L6,External Agency Referrals - Housing Development Board (HDB)
CAS-06110-Q6D7L8,Court-Ordered- Magistrate's Complaint
CAS-06111-J9B6R2,External Agency Referrals - Singapore Police Force (SPF)
CAS-06112-H0R8B2,External Agency Referrals - Singapore Police Force (SPF)
CAS-06113-D0N5G9,Court-Ordered- Magistrate's Complaint
CAS-06114-P1W9J4,External Agency Referrals - Singapore Police Force (SPF)
CAS-06115-P6T5R8,Applications through Contact Centre
CAS-06116-P9Z6B2,Applications through Contact Centre
CAS-06117-L4T6K0,Applications through Contact Centre
CAS-06118-B0Q2W6,Court-Ordered- Magistrate's Complaint
CAS-06119-D7M8G4,External Agency Referrals - Singapore Police Force (SPF)
CAS-06120-Z7L4W9,Walk Ins
CAS-06121-P9W0G4,Court-Ordered- Magistrate's Complaint
CAS-06122-T5J8S2,External Agency Referrals - Member of Parliament
CAS-06123-F8H7N7,External Agency Referrals - Singapore Police Force (SPF)
CAS-06124-M8B5R9,Court-Ordered- Magistrate's Complaint
CAS-06125-Y6T1V4,Court-Ordered- Magistrate's Complaint
CAS-06126-J9P6T4,Court-Ordered- Magistrate's Complaint
CAS-06127-F5Y6Y0,External Agency Referrals - Singapore Police Force (SPF)
CAS-06128-Z3X6Q7,External Agency Referrals - Member of Parliament
CAS-06129-V0G2D4,External Agency Referrals - Housing Development Board (HDB)
CAS-06130-X3K1F7,Applications through Contact Centre
CAS-06131-Q2Y5M2,Applications through Contact Centre
CAS-06132-B4M3F4,Court-Ordered- Magistrate's Complaint
CAS-06133-B9P7L3,Court-Ordered- Magistrate's Complaint
CAS-06134-J0N5T6,Court-Ordered- Magistrate's Complaint
CAS-06135-T5V1T4,Walk Ins
CAS-06136-M5T3F9,Court-Ordered- Magistrate's Complaint
CAS-06137-F2H8R2,Court-Ordered- Magistrate's Complaint
CAS-06138-W1Z4G5,Court-Ordered- Magistrate's Complaint
CAS-06139-B9L8G7,Court-Ordered- Magistrate's Complaint
CAS-06140-D1V7R5,Court-Ordered- Magistrate's Complaint
CAS-06141-G3B6M7,External Agency Referrals - Singapore Police Force (SPF)
CAS-06142-B9S2J8,External Agency Referrals - Housing Development Board (HDB)
CAS-06143-G8N9K0,Court-Ordered- Magistrate's Complaint
CAS-06144-Q0N2X8,Court-Ordered- Magistrate's Complaint
CAS-06145-C8D1R5,Court-Ordered- Magistrate's Complaint
CAS-06146-N6M0X4,External Agency Referrals - Housing Development Board (HDB)
CAS-06147-P6V5W3,Court-Ordered- Magistrate's Complaint
CAS-06148-Y3W5Y3,Court-Ordered- Magistrate's Complaint
CAS-06149-P2V8C1,Court-Ordered- Magistrate's Complaint
CAS-06150-H5C4Y8,Court-Ordered- Magistrate's Complaint
CAS-06151-B6T4K4,Applications through Contact Centre
CAS-06152-Q3R6V9,Applications through Contact Centre
CAS-06153-B3K7L1,Court-Ordered- Magistrate's Complaint
CAS-06154-L2W4L0,Court-Ordered- Magistrate's Complaint
CAS-06155-F9K2R4,Court-Ordered- Magistrate's Complaint
CAS-06156-W9W0K8,External Agency Referrals - Member of Parliament
CAS-06157-F9V8D3,External Agency Referrals - Housing Development Board (HDB)
CAS-06158-Y1H6F6,External Agency Referrals - Town Council
CAS-06159-L3W9Z3,Court-Ordered- Magistrate's Complaint
CAS-06160-J5N1D8,Court-Ordered- Magistrate's Complaint
CAS-06161-N5X0D2,Court-Ordered- Magistrate's Complaint
CAS-06162-J4Q1L8,Court-Ordered- Magistrate's Complaint
CAS-06163-P2L4M9,Court-Ordered- Magistrate's Complaint
CAS-06164-Q4X3J3,Court-Ordered- Magistrate's Complaint
CAS-06165-B7W6Z2,Applications through Contact Centre
CAS-06166-Y6S9D6,External Agency Referrals - Singapore Police Force (SPF)
CAS-06167-G1Y0S6,External Agency Referrals - Others
CAS-06168-H1T7J2,External Agency Referrals - Singapore Police Force (SPF)
CAS-06169-L6Z0J0,Court-Ordered- Magistrate's Complaint
CAS-06170-D9Y4K7,Court-Ordered- Magistrate's Complaint
CAS-06171-F5Q7R4,Court-Ordered- Magistrate's Complaint
CAS-06172-F5N1K3,Applications through Contact Centre
CAS-06173-G3J1C9,External Agency Referrals - Singapore Police Force (SPF)
CAS-06174-H5V9M6,External Agency Referrals - Member of Parliament
CAS-06175-J3W1W9,External Agency Referrals - Member of Parliament
CAS-06176-V4R8P7,Court-Ordered- Magistrate's Complaint
CAS-06177-V9M4G4,Court-Ordered- Magistrate's Complaint
CAS-06178-F9W4W7,Court-Ordered- Magistrate's Complaint
CAS-06179-Y3V6V6,Court-Ordered- Magistrate's Complaint
CAS-06180-H5L6H7,External Agency Referrals - Singapore Police Force (SPF)
CAS-06181-J8L5G4,Applications through Contact Centre
CAS-06182-B0B8G9,External Agency Referrals - Housing Development Board (HDB)
CAS-06183-W0R9V1,Walk Ins
CAS-06184-H5P0M2,Court-Ordered- Magistrate's Complaint
CAS-06185-T3G8S8,Court-Ordered- Magistrate's Complaint
CAS-06186-J6D1X1,Court-Ordered- Magistrate's Complaint
CAS-06187-Q4N1J3,Court-Ordered- Magistrate's Complaint
CAS-06188-V1Y3H0,Court-Ordered- Magistrate's Complaint
CAS-06189-K0G2M0,Court-Ordered- Magistrate's Complaint
CAS-06190-J9T1K3,Court-Ordered- Magistrate's Complaint
CAS-06191-T3R7G7,Court-Ordered- Magistrate's Complaint
CAS-06192-C6D4N4,Court-Ordered- Magistrate's Complaint
CAS-06193-W0V7L1,Court-Ordered- Magistrate's Complaint
CAS-06194-B5R9W6,Court-Ordered- Magistrate's Complaint
CAS-06195-K8G3W3,Court-Ordered- Magistrate's Complaint
CAS-06196-V9R7K4,Court-Ordered- Magistrate's Complaint
CAS-06197-F4L0G2,Court-Ordered- Magistrate's Complaint
CAS-06198-Q0T2V4,Court-Ordered- Magistrate's Complaint
CAS-06199-S2H9Y4,Applications through Contact Centre
CAS-06200-Q5D9S5,Court-Ordered- Magistrate's Complaint
CAS-06201-Y1H8T8,Court-Ordered- Magistrate's Complaint
CAS-06202-C8X9C3,Court-Ordered- Magistrate's Complaint
CAS-06203-Y5P0Q2,Court-Ordered- Magistrate's Complaint
CAS-06204-W3K1Y1,Court-Ordered- Magistrate's Complaint
CAS-06205-M8Q3S6,Court-Ordered- Magistrate's Complaint
CAS-06206-V6Q5L7,Court-Ordered- Magistrate's Complaint
CAS-06207-N9M9X3,Court-Ordered- Magistrate's Complaint
CAS-06208-L5W2K3,Court-Ordered- Magistrate's Complaint
CAS-06209-X4B7D6,Court-Ordered- Magistrate's Complaint
CAS-06210-Q6Q6D2,External Agency Referrals - Town Council
CAS-06211-D4G0P3,Applications through Contact Centre
CAS-06212-Z8H0Z5,External Agency Referrals - Housing Development Board (HDB)
CAS-06213-N8T0L5,Court-Ordered- Magistrate's Complaint
CAS-06214-J3G8F9,Court-Ordered- Magistrate's Complaint
CAS-06215-J7R8Q3,Court-Ordered- Magistrate's Complaint
CAS-06216-K2K4V4,Court-Ordered- Magistrate's Complaint
CAS-06217-S7R6V4,Court-Ordered- Magistrate's Complaint
CAS-06218-Y5Z1Z8,Court-Ordered- Magistrate's Complaint
CAS-06219-F0H1P5,Court-Ordered- Magistrate's Complaint
CAS-06220-Q7M6B0,External Agency Referrals - Member of Parliament
CAS-06221-X3F9C6,Applications through Contact Centre
CAS-06222-W7Y7C1,External Agency Referrals - Singapore Police Force (SPF)
CAS-06223-Q9N6C7,Court-Ordered- Magistrate's Complaint
CAS-06224-N1C2R6,Court-Ordered- Magistrate's Complaint
CAS-06225-N8J3L5,External Agency Referrals - Town Council
CAS-06226-Y7Q4J5,External Agency Referrals - Singapore Police Force (SPF)
CAS-06227-H6R5P8,Applications through Contact Centre
CAS-06228-T0C9F9,Applications through Contact Centre
CAS-06229-P6F4Z2,Applications through Contact Centre
CAS-06230-Y3M1X2,External Agency Referrals - Singapore Police Force (SPF)
CAS-06231-H8C8V6,Court-Ordered- Magistrate's Complaint
CAS-06232-Q5C7F6,External Agency Referrals - Housing Development Board (HDB)
CAS-06233-X6Q9V1,External Agency Referrals - Housing Development Board (HDB)
CAS-06234-G8R7M9,External Agency Referrals - Housing Development Board (HDB)
CAS-06235-B2Q0C0,Applications through Contact Centre
CAS-06236-L2C4G3,Applications through Contact Centre
CAS-06237-F5Y4K3,External Agency Referrals - Town Council
CAS-06238-H0T0P5,External Agency Referrals - Member of Parliament
CAS-06239-Q4Z6X2,External Agency Referrals - Member of Parliament
CAS-06240-G6G3Y9,External Agency Referrals - Housing Development Board (HDB)
CAS-06241-H2G5K2,Court-Ordered- Magistrate's Complaint
CAS-06242-W9C1Y5,Court-Ordered- Magistrate's Complaint
CAS-06243-Z4W4K5,Court-Ordered- Magistrate's Complaint
CAS-06244-X6D1L3,Applications through Contact Centre
CAS-06245-W8T2Q7,Court-Ordered- Magistrate's Complaint
CAS-06246-Q5Y8W0,Walk Ins
CAS-06247-Y4B5L4,Court-Ordered- Magistrate's Complaint
CAS-06248-W7J1L6,Applications through Contact Centre
CAS-06249-K2Z5S1,Applications through Contact Centre
CAS-06250-C9Q4C8,Applications through Contact Centre
CAS-06251-Q1Z3T2,Court-Ordered- Magistrate's Complaint
CAS-06252-Q9D8C6,Applications through Contact Centre
CAS-06253-Z9R3H5,Applications through Contact Centre
CAS-06254-M9R9N9,Applications through Contact Centre
CAS-06255-X0J1Y1,Applications through Contact Centre
CAS-06256-D2D2X3,External Agency Referrals - Member of Parliament
CAS-06257-Y9Z2F3,External Agency Referrals - Housing Development Board (HDB)
CAS-06258-D6T5Y7,External Agency Referrals - Singapore Police Force (SPF)
CAS-06259-W2N9D1,External Agency Referrals - Housing Development Board (HDB)
CAS-06260-C3J5D6,External Agency Referrals - Singapore Police Force (SPF)
CAS-06261-C6W7B5,Court-Ordered- Magistrate's Complaint
CAS-06262-Q7G4B6,Court-Ordered- Magistrate's Complaint
CAS-06263-V6S3N7,Court-Ordered- Magistrate's Complaint
CAS-06264-F1B4F3,Court-Ordered- Magistrate's Complaint
CAS-06265-T1N6M2,Court-Ordered- Magistrate's Complaint
CAS-06266-M0L5C2,Court-Ordered- Magistrate's Complaint
CAS-06267-Q9S6V9,Court-Ordered- Magistrate's Complaint
CAS-06268-S4L5Q6,Court-Ordered- Magistrate's Complaint
CAS-06269-S5L5F5,Court-Ordered- Magistrate's Complaint
CAS-06270-Y2H0L0,Court-Ordered- Magistrate's Complaint
CAS-06271-P4L0R3,External Agency Referrals - Town Council
CAS-06272-H3W8S3,External Agency Referrals - Housing Development Board (HDB)
CAS-06273-G5X8B0,External Agency Referrals - Singapore Police Force (SPF)
CAS-06274-W8G6T0,External Agency Referrals - Singapore Police Force (SPF)
CAS-06275-W3X4B8,External Agency Referrals - Singapore Police Force (SPF)
CAS-06276-N6B4P3,External Agency Referrals - Singapore Police Force (SPF)
CAS-06277-H1H6P1,Applications through Contact Centre
CAS-06278-B4L5N9,Applications through Contact Centre
CAS-06279-W6D2K1,Applications through Contact Centre
CAS-06280-P0R4P6,External Agency Referrals - Singapore Police Force (SPF)
CAS-06281-H2Y4V1,Walk Ins
CAS-06282-P0S2R2,Walk Ins
CAS-06283-F2F4S4,Applications through Contact Centre
CAS-06284-G0C6V5,Applications through Contact Centre
CAS-06285-B3B8F9,External Agency Referrals - Housing Development Board (HDB)
CAS-06286-B8G7B3,Court-Ordered- Magistrate's Complaint
CAS-06287-P5K3S0,External Agency Referrals - Housing Development Board (HDB)
CAS-06288-V8V2B8,Walk Ins
CAS-06289-L1R4K3,Court-Ordered- Magistrate's Complaint
CAS-06290-F2B0M7,Applications through Contact Centre
CAS-06291-S4P4X6,Court-Ordered- Magistrate's Complaint
CAS-06292-R3F6V8,External Agency Referrals - Member of Parliament
CAS-06293-N6C6W6,External Agency Referrals - Housing Development Board (HDB)
CAS-06294-Y7K5S6,Court-Ordered- Magistrate's Complaint
CAS-06295-Y0N2M9,Court-Ordered- Magistrate's Complaint
CAS-06296-L2B1Y2,Court-Ordered- Magistrate's Complaint
CAS-06297-V9J5G0,External Agency Referrals - Member of Parliament
CAS-06298-V8Y8C1,Court-Ordered- Magistrate's Complaint
CAS-06299-R5D9W5,External Agency Referrals - Member of Parliament
CAS-06300-H7L2F9,External Agency Referrals - Member of Parliament
CAS-06301-S4J6K4,Applications through Contact Centre
CAS-06302-M6L6K1,Court-Ordered- Magistrate's Complaint
CAS-06303-M5Z9W6,Court-Ordered- Magistrate's Complaint
CAS-06304-R3C4S1,Court-Ordered- Magistrate's Complaint
CAS-06305-D4Y9C7,Court-Ordered- Magistrate's Complaint
CAS-06306-C2C2B2,Court-Ordered- Magistrate's Complaint
CAS-06307-T6K4G4,Court-Ordered- Magistrate's Complaint
CAS-06308-B2T4Q4,Court-Ordered- Magistrate's Complaint
CAS-06309-H2S8J9,Court-Ordered- Magistrate's Complaint
CAS-06310-R9P8X5,External Agency Referrals - Member of Parliament
CAS-06311-Q3P5M8,External Agency Referrals - Singapore Police Force (SPF)
CAS-06312-T1B7C4,External Agency Referrals - Singapore Police Force (SPF)
CAS-06313-F4F6N5,External Agency Referrals - Singapore Police Force (SPF)
CAS-06314-P8W4N5,Applications through Contact Centre
CAS-06315-H7F3D1,Applications through Contact Centre
CAS-06316-S7L3G7,External Agency Referrals - Housing Development Board (HDB)
CAS-06317-M1J4D8,External Agency Referrals - Singapore Police Force (SPF)
CAS-06318-Y1B6N3,External Agency Referrals - Singapore Police Force (SPF)
CAS-06319-D8Q6P8,External Agency Referrals - Housing Development Board (HDB)
CAS-06320-D9L2N4,External Agency Referrals - Housing Development Board (HDB)
CAS-06321-Y1C1Z4,Court-Ordered- Magistrate's Complaint
CAS-06322-D7G8L7,Applications through Contact Centre
CAS-06323-Y5X7X5,External Agency Referrals - Member of Parliament
CAS-06324-R6P7R6,Court-Ordered- Magistrate's Complaint
CAS-06325-Y9L7S0,Applications through Contact Centre
CAS-06326-T5X8X1,Applications through Contact Centre
CAS-06327-W5V2M6,Walk Ins
CAS-06328-Y8F6S0,External Agency Referrals - Singapore Police Force (SPF)
CAS-06329-Z2R0W4,External Agency Referrals - Singapore Police Force (SPF)
CAS-06330-T2F3D4,External Agency Referrals - Singapore Police Force (SPF)
CAS-06331-Z7C1Y0,External Agency Referrals - Singapore Police Force (SPF)
CAS-06332-S7H5H8,External Agency Referrals - Singapore Police Force (SPF)
CAS-06333-Y1B0N4,Walk Ins
CAS-06334-Q7T1B1,External Agency Referrals - Singapore Police Force (SPF)
CAS-06335-F7Y4F2,Applications through Contact Centre
CAS-06336-B1J5Q7,Applications through Contact Centre
CAS-06337-X9T9K8,External Agency Referrals - Others
CAS-06338-L8Z5D7,Applications through Contact Centre
CAS-06339-V5F6B7,Court-Ordered- Magistrate's Complaint
CAS-06340-L3G3Q6,Court-Ordered- Magistrate's Complaint
CAS-06341-D6S3D1,Applications through Contact Centre
CAS-06342-L3R7Q7,External Agency Referrals - Others
CAS-06343-G8L6N2,External Agency Referrals - Housing Development Board (HDB)
CAS-06344-Z5W8X3,External Agency Referrals - Singapore Police Force (SPF)
CAS-06345-S9J9L9,Court-Ordered- Magistrate's Complaint
CAS-06346-N7Z4G1,Court-Ordered- Magistrate's Complaint
CAS-06347-W2P0Z4,Applications through Contact Centre
CAS-06348-H7N2F3,Court-Ordered- Magistrate's Complaint
CAS-06349-S1Q1G9,Applications through Contact Centre
CAS-06350-K0D1H3,Applications through Contact Centre
CAS-06351-Y0D5S4,Court-Ordered- Magistrate's Complaint
CAS-06352-K9M1B6,Court-Ordered- Magistrate's Complaint
